Designator,Mid X,Mid Y,Rotation,Layer
U2,125.222,-88.392,0.0,top
C1,110.744,-95.999,-90.0,top
R4,131.064,-84.582,0.0,top
C5,125.25,-80.772,0.0,top
C3,109.474,-91.948,90.0,top
LEDRX1,114.1245,-81.28,0.0,top
LEDPW1,110.5685,-81.28,0.0,top
RJ1,139.192,-88.9,90.0,top
U1,116.078,-92.964,0.0,top
USB1,106.461,-88.9,-90.0,top
R2,120.394,-86.36,180.0,top
R6,116.586,-83.568,-90.0,top
R1,120.396,-85.09,180.0,top
R5,109.728,-83.31,-90.0,top
Q2,134.112,-85.598,0.0,top
LEDTX1,117.6805,-81.28,0.0,top
C2,110.744,-91.935,90.0,top
C4,120.396,-87.63,0.0,top
R7,113.284,-83.568,-90.0,top
Q1,134.112,-90.424,0.0,top
C6,125.209,-82.296,0.0,top
R3,131.062,-89.408,0.0,top
